# $Id: id.txt,v 1.63 2022/09/20 00:01:15 karn Exp $
1	VHF airspy
4474000 KE6UPI Murrieta
4474200 
4474400 KD6OFD Blue Ridge DARN
4474800 K6PIN Running Springs
4474800 N6MRN Pine Cove
4474800 WD6EBY Rasnow Peak
4475000 K0JPK Chino
4475000 KE6HGO Agoura -  Castro Peak
4475000 N0VDM Carlsbad
4475200 K6CF Sunset Ridge
4475200 KF6FM Oat Mountain
4475200 W6HDC El Cajon
4475400 KB6CRE Santiago Peak
4475600 KB6CRE Oat Mountain
4475600 PAPA11
4475800 K6JSI Santa Anita Ridge WINS
4475800 K6KTA Alpine
4475800 KE6JZS Barstow
4475800 W6KSN Indio - Chiriaco Smt
4475800 WB6CDF Goat Mountain
4476000 K6DVD Santa Ynez Peak
4476000 K6VGP Johnstone Peak
4476200 N6DD Sunset Ridge Cactus
4476400 K6JSI Otay Mtn
4476400 KA6WIN Breckenridge Mountain
4476800 K6UHF Santiago Peak
4476800 Turquoise Mountain
4477000 N6AZY Alabama Hills
4477000 N6YMZ Blythe
4477000 W6YQY Santiago Peak
4477200 N6DKA Sunset Ridge
4477400 KE6PCV Heaps Peak
4477800 W6XC Saddle Peak
4478000 KF6AJM Palomar Mountain
4478000 NO7BS Mt Harvard
4478000 W6PVE Palos Verdes Estates
4478200 KE6PGN Oat Mountain
4478350	KI6JKA Oat Mountain PAPA D01
4478350	kJ6LJZ Blue Ridge PAPA D14
4478400	WD6FZA Toro Peak PAPA 07
4478400 KK6GFX Santa Ynez PAPA D06
4478400 WA6JQB Saddle Pk
4478450	KI6KQU Woodso PAPA D15
4478600 KK6AC Frazier Mountain
4478600 WR6SP Saddle Pk
4479000 WD6AML Alpine
4479000 WD6AML Chuckwalla Mountains
4479000 WD6AML Johnstone Peak
4479000 WD6AML Oat Mountain
4479200 AA6TL Pomona - Sunset Ridge
4479200 KI6HHU Tehachapi - Double Mtn
4479400 W6HBR Huntington Beach
4479600 NW6B La Crescenta - Mt Lukens
4479800 KV6D Running Springs
4479800 NW6B Tujunga
4480200 K7FY Glendale - Mt Lukens
4480200 WR6MO Otay Mountain
4480400 WD6AWP Santiago Peak
4480600 K6JSI Santiago Peak WINS
4480800 KD6ZLZ Santiago Peak
4481000 K6JTH Mt Wilson
4481200 KA6JRG Santiago Peak
4481400 WB6SRC Santiago Peak
4481600 W7DOD Snow Peak
4481800 K6ERN Ventura - Red Mountain
4481800 WB6TZU Lake Arrowhead - Heaps Peak
4482000 K6UHF Mt Lukens
4482200 WA6EQU Oat Mtn Cactus
4482400 WA6ZPS Malibu - Saddle Peak
4482600 K6IRF San Dimas - Johnstone Peak
4482800 KM6RPT Old Town
4483000 WA6ZJT Santiago Peak
4483200 W6KRW Santiago Peak
4483400 K6OES San Dimas - Johnstone Peak
4483400 K6QM  Sweetwater Tank
4483400 KB6MRC Bellflower
4483400 N6NMC Santa Clarita
4483400 W6XC Ventura
4483600 W7BF Claremont - Sunset Ridge
4483600 W7BF Corona - Pleasants Peak
4483800 WD6AWP Santa Ynez Peak
4483800 WD6AWP Wrightwood - Blue Ridge
4484000 KE6PCV Mt Otay
4484000 N6AJB Banning - Snow Peak
4484000 N6WZK Bell
4484200 W6ATN Mt Wilson
4484600 KK6KD San Miguel Mtn
4484600 N6RMH Quartzite Mountain
4484800 KB6C Santa Clarita - Oat Mtn
4485000 WA6VLD Mt Wilson
4485200 KI6KQU Woodson
4485200 N6ENL Sunset Ridge
4485200 WR6BLU Mt Otay
4485400 K6JXY Palomar PAPA10
4485600 WA6ZRB Mount Lukens DARN
4485800 KF6JBN Mt Lukens
4486000 W6RRN Palos Verdes
4486000 W6RRN Rasnow Peak
4486200 WB6LVZ Mt Lukens
4486400 WB6TZD Signal Peak Cactus
4486600 KF6BXW Gorman - Burnt Peak
4486600 WB6TZC Banning - Snow Peak
4486800 WB6TZH Frazier Mtn
4487000 K6JTH Crestline
